"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"blue",2195,2162,8,1.16725718698906e-09,1.96589455432697e-05,565,0.261332099907493,0.198176078568923,2851,"GO:0010468","BP","regulation of gene expression","Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA (for protein-coding genes) and the translation of that mRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."
"blue",2195,2162,9,1.67567555993742e-09,2.82217277804661e-05,741,0.342738205365402,0.190684508492023,3886,"GO:0006139","BP","nucleobase-containing compound metabolic process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"blue",2195,2162,10,1.9852664517641e-09,3.34358575806109e-05,491,0.227104532839963,0.201559934318555,2436,"GO:0006351","BP","transcription, DNA-templated","The cellular synthesis of RNA on a template of DNA."
"blue",2195,2162,11,3.01877058677406e-09,5.08421342224488e-05,654,0.302497687326549,0.193205317577548,3385,"GO:0009059","BP","macromolecule biosynthetic process","The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
"blue",2195,2162,12,3.16638070958385e-09,5.33281839108112e-05,493,0.228029602220167,0.20081466395112,2455,"GO:0032774","BP","RNA biosynthetic process","The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."
"blue",2195,2162,13,4.10606851076144e-09,6.91544058582441e-05,832,0.384828862164662,0.187134502923977,4446,"GO:0019222","BP","regulation of metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
"blue",2195,2162,14,4.9197305651632e-09,8.28581021784786e-05,494,0.228492136910268,0.200162074554295,2468,"GO:0051252","BP","regulation of RNA metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."
"blue",2195,2162,15,5.6704959170293e-09,9.55024922346074e-05,756,0.349676225716929,0.189047261815454,3999,"GO:0046483","BP","heterocycle metabolic process","The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
"blue",2195,2162,16,6.32984839989236e-09,0.000106607306750987,760,0.351526364477336,0.188819875776398,4025,"GO:0031323","BP","regulation of cellular metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
"blue",2195,2162,17,9.16866406013534e-09,0.000154418640100799,475,0.219703977798335,0.20042194092827,2370,"GO:0006355","BP","regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"blue",2195,2162,18,9.33466772783636e-09,0.00015721447387222,476,0.220166512488437,0.2003367003367,2376,"GO:1903506","BP","regulation of nucleic acid-templated transcription","Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."
"blue",2195,2162,19,9.50259179133741e-09,0.000160042650949705,477,0.220629047178538,0.200251889168766,2382,"GO:2001141","BP","regulation of RNA biosynthetic process","Any process that modulates the frequency, rate or extent of RNA biosynthetic process."
"blue",2195,2162,20,3.51891758178722e-08,0.000592656099124604,753,0.348288621646623,0.187360039810898,4019,"GO:0006725","BP","cellular aromatic compound metabolic process","The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."
"brown",1984,1949,1,1.22812259524473e-64,2.06840407491117e-60,132,0.0677270395074397,0.673469387755102,196,"GO:0005840","CC","ribosome","An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."
"brown",1984,1949,2,2.60824909221339e-61,4.39281312110579e-57,111,0.0569522832221652,0.74,150,"GO:0044391","CC","ribosomal subunit","Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."
"brown",1984,1949,3,6.58992792313503e-49,1.1098756608144e-44,112,0.0574653668547973,0.615384615384615,182,"GO:0003735","MF","structural constituent of ribosome","The action of a molecule that contributes to the structural integrity of the ribosome."
"brown",1984,1949,4,1.03492754961385e-48,1.74302497905964e-44,233,0.119548486403284,0.377022653721683,618,"GO:0030529","CC","intracellular ribonucleoprotein complex","An intracellular macromolecular complex containing both protein and RNA molecules."
"brown",1984,1949,5,1.02891189061483e-45,1.7328934061735e-41,74,0.0379681888147768,0.804347826086957,92,"GO:0022626","CC","cytosolic ribosome","A ribosome located in the cytosol."
"brown",1984,1949,6,9.05878079498946e-36,1.52567986149213e-31,180,0.0923550538737814,0.36734693877551,490,"GO:0006412","BP","translation","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"brown",1984,1949,7,2.84745782565606e-35,4.79568846996994e-31,63,0.0323242688558235,0.741176470588235,85,"GO:0015934","CC","large ribosomal subunit","The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site)."
"brown",1984,1949,8,2.41421101182813e-34,4.06601418612094e-30,181,0.0928681375064135,0.358415841584158,505,"GO:0043043","BP","peptide biosynthetic process","The chemical reactions and pathways resulting in the formation of peptides, compounds of 2 or more (but usually less than 100) amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another. This may include the translation of a precursor protein and its subsequent processing into a functional peptide."
"brown",1984,1949,9,1.03609362318944e-32,1.74498888017565e-28,199,0.102103642893792,0.333333333333333,597,"GO:0006518","BP","peptide metabolic process","The chemical reactions and pathways involving peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another."
"brown",1984,1949,10,2.79740087936767e-32,4.71138256103104e-28,387,0.19856336582863,0.251789199739753,1537,"GO:0005739","CC","mitochondrion","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"brown",1984,1949,11,2.66101550532486e-30,4.48168231406813e-26,351,0.180092355053874,0.255272727272727,1375,"GO:0003723","MF","RNA binding","Interacting selectively and non-covalently with an RNA molecule or a portion thereof."
"brown",1984,1949,12,3.86295149658704e-27,6.5059829105519e-23,41,0.0210364289379169,0.836734693877551,49,"GO:0022625","CC","cytosolic large ribosomal subunit","The large subunit of a ribosome located in the cytosol."
"brown",1984,1949,13,1.53915806537561e-26,2.59225001370561e-22,48,0.0246280143663417,0.727272727272727,66,"GO:0015935","CC","small ribosomal subunit","The smaller of the two subunits of a ribosome."
"brown",1984,1949,14,2.73959646947554e-24,4.6140283738907e-20,731,0.375064135454079,0.195768612747724,3734,"GO:0032991","CC","macromolecular complex","A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which the constituent parts function together."
"brown",1984,1949,15,3.78374978803115e-23,6.37259139300207e-19,91,0.0466906105695228,0.419354838709677,217,"GO:0042254","BP","ribosome biogenesis","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
"brown",1984,1949,16,7.70259856051428e-21,1.29727164956182e-16,31,0.0159055926115957,0.837837837837838,37,"GO:0022627","CC","cytosolic small ribosomal subunit","The small subunit of a ribosome located in the cytosol."
"brown",1984,1949,17,1.62316622930513e-20,2.7337365633957e-16,40,0.0205233453052848,0.677966101694915,59,"GO:0005746","CC","mitochondrial respiratory chain","The protein complexes that form the mitochondrial electron transport system (the respiratory chain), associated with the inner mitochondrial membrane. The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."
"brown",1984,1949,18,1.76969859773238e-20,2.98052637830087e-16,134,0.068753206772704,0.320574162679426,418,"GO:0005198","MF","structural molecule activity","The action of a molecule that contributes to the structural integrity of a complex or assembly within or outside a cell."
"brown",1984,1949,19,2.1546128524504e-20,3.62879896609697e-16,45,0.0230887634684454,0.616438356164384,73,"GO:0070469","CC","respiratory chain","The protein complexes that form the electron transport system (the respiratory chain), associated with a cell membrane, usually the plasma membrane (in prokaryotes) or the inner mitochondrial membrane (on eukaryotes). The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."
"brown",1984,1949,20,4.22187840839527e-20,7.11048761541931e-16,44,0.0225756798358132,0.619718309859155,71,"GO:0005761","CC","mitochondrial ribosome","A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."
"cyan",141,138,1,6.08336233644777e-05,1,18,0.130434782608696,0.029126213592233,618,"GO:0016491","MF","oxidoreductase activity","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"cyan",141,138,2,0.00031162205071666,1,2,0.0144927536231884,0.666666666666667,3,"GO:0042376","BP","phylloquinone catabolic process","The chemical reactions and pathways resulting in the breakdown of phylloquinone, vitamin K1, a quinone-derived compound synthesized by green plants."
"cyan",141,138,3,0.000407116096592522,1,6,0.0434782608695652,0.0638297872340425,94,"GO:0009308","BP","amine metabolic process","The chemical reactions and pathways involving any organic compound that is weakly basic in character and contains an amino or a substituted amino group, as carried out by individual cells. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom."
"cyan",141,138,4,0.000588689055054172,1,64,0.463768115942029,0.0145091815914759,4411,"GO:0003824","MF","catalytic activity","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"cyan",141,138,5,0.000657235494858415,1,5,0.036231884057971,0.0735294117647059,68,"GO:0006576","BP","cellular biogenic amine metabolic process","The chemical reactions and pathways occurring at the level of individual cells involving any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters."
"cyan",141,138,6,0.000853766631251409,1,5,0.036231884057971,0.0694444444444444,72,"GO:0008649","MF","rRNA methyltransferase activity","Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a nucleoside residue in an rRNA molecule."
"cyan",141,138,7,0.000853766631251409,1,5,0.036231884057971,0.0694444444444444,72,"GO:0016436","MF","rRNA (uridine) methyltransferase activity","Catalysis of the reaction: S-adenosyl-L-methionine + rRNA = S-adenosyl-L-homocysteine + rRNA containing methyluridine."
"cyan",141,138,8,0.00102479339975441,1,2,0.0144927536231884,0.4,5,"GO:0033132","BP","negative regulation of glucokinase activity","Any process that stops, prevents, or reduces the frequency, rate or extent of glucokinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a glucose molecule."
"cyan",141,138,9,0.00106107378915342,1,3,0.0217391304347826,0.15,20,"GO:0005343","MF","organic acid:sodium symporter activity","Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: organic acid(out) + Na+(out) = organic acid(in) + Na+(in)."
"cyan",141,138,10,0.00145263353793798,1,5,0.036231884057971,0.0617283950617284,81,"GO:0020037","MF","heme binding","Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring."
"cyan",141,138,11,0.00152684796080988,1,2,0.0144927536231884,0.333333333333333,6,"GO:0006975","BP","DNA damage induced protein phosphorylation","The widespread phosphorylation of various molecules, triggering many downstream processes, that occurs in response to the detection of DNA damage."
"cyan",141,138,12,0.00152684796080988,1,2,0.0144927536231884,0.333333333333333,6,"GO:0005283","MF","sodium:amino acid symporter activity","Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: amino acid(out) + Na+(out) = amino acid(in) + Na+(in)."
"cyan",141,138,13,0.00182822097634812,1,3,0.0217391304347826,0.125,24,"GO:0055090","BP","acylglycerol homeostasis","Any process involved in the maintenance of an internal steady state of acylglycerol within an organism or cell."
"cyan",141,138,14,0.00182822097634812,1,3,0.0217391304347826,0.125,24,"GO:0070328","BP","triglyceride homeostasis","Any process involved in the maintenance of an internal steady state of triglyceride within an organism or cell."
"cyan",141,138,15,0.00206202635591605,1,3,0.0217391304347826,0.12,25,"GO:0016749","MF","N-succinyltransferase activity","Catalysis of the transfer of a succinyl group to a nitrogen atom on the acceptor molecule."
"cyan",141,138,16,0.00209787848701368,1,5,0.036231884057971,0.0568181818181818,88,"GO:0046906","MF","tetrapyrrole binding","Interacting selectively and non-covalently with a tetrapyrrole, a compound containing four pyrrole nuclei variously substituted and linked to each other through carbons at the alpha position."
"cyan",141,138,17,0.00220471852079623,1,5,0.036231884057971,0.0561797752808989,89,"GO:0008173","MF","RNA methyltransferase activity","Catalysis of the transfer of a methyl group from a donor to a nucleoside residue in an RNA molecule."
"cyan",141,138,18,0.00231360631601586,1,3,0.0217391304347826,0.115384615384615,26,"GO:0008137","MF","NADH dehydrogenase (ubiquinone) activity","Catalysis of the reaction: NADH + H+ + ubiquinone = NAD+ + ubiquinol."
"cyan",141,138,19,0.00231360631601586,1,3,0.0217391304347826,0.115384615384615,26,"GO:0016748","MF","succinyltransferase activity","Catalysis of the transfer of a succinyl (3-carboxypropanoyl) group to an acceptor molecule."
"cyan",141,138,20,0.00258340957613158,1,3,0.0217391304347826,0.111111111111111,27,"GO:0046470","BP","phosphatidylcholine metabolic process","The chemical reactions and pathways involving phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline. They are important constituents of cell membranes."
"darkred",50,50,1,4.919796131369e-17,8.28592064445167e-13,11,0.22,0.203703703703704,54,"GO:0006635","BP","fatty acid beta-oxidation","A fatty acid oxidation process that results in the complete oxidation of a long-chain fatty acid. Fatty acid beta-oxidation begins with the addition of coenzyme A to a fatty acid, and occurs by successive cycles of reactions during each of which the fatty acid is shortened by a two-carbon fragment removed as acetyl coenzyme A; the cycle continues until only two or three carbons remain (as acetyl-CoA or propionyl-CoA respectively)."
"darkred",50,50,2,6.11362494975704e-17,1.02965671403808e-12,12,0.24,0.153846153846154,78,"GO:0019395","BP","fatty acid oxidation","The removal of one or more electrons from a fatty acid, with or without the concomitant removal of a proton or protons, by reaction with an electron-accepting substance, by addition of oxygen or by removal of hydrogen."
"darkred",50,50,3,7.18971405633697e-17,1.21089164136827e-12,12,0.24,0.151898734177215,79,"GO:0034440","BP","lipid oxidation","The removal of one or more electrons from a lipid, with or without the concomitant removal of a proton or protons, by reaction with an electron-accepting substance, by addition of oxygen or by removal of hydrogen."
"darkred",50,50,4,7.59013397593027e-16,1.27833036422618e-11,11,0.22,0.161764705882353,68,"GO:0009062","BP","fatty acid catabolic process","The chemical reactions and pathways resulting in the breakdown of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"darkred",50,50,5,2.75866431855707e-13,4.64614244531382e-09,12,0.24,0.0779220779220779,154,"GO:0030258","BP","lipid modification","The covalent alteration of one or more fatty acids in a lipid, resulting in a change in the properties of the lipid."
"darkred",50,50,6,9.99802199177264e-13,1.68386686385435e-08,14,0.28,0.05,280,"GO:0006631","BP","fatty acid metabolic process","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
"darkred",50,50,7,1.79388146983514e-12,3.02125517149635e-08,19,0.38,0.0274170274170274,693,"GO:0044255","BP","cellular lipid metabolic process","The chemical reactions and pathways involving lipids, as carried out by individual cells."
"darkred",50,50,8,3.23710893780627e-12,5.45193887305332e-08,11,0.22,0.0774647887323944,142,"GO:0044242","BP","cellular lipid catabolic process","The chemical reactions and pathways resulting in the breakdown of lipids, as carried out by individual cells."
"darkred",50,50,9,5.49775010186949e-12,9.2593107215686e-08,11,0.22,0.0738255033557047,149,"GO:0046395","BP","carboxylic acid catabolic process","The chemical reactions and pathways resulting in the breakdown of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."
"darkred",50,50,10,9.35850750464054e-12,1.57615983393156e-07,12,0.24,0.0579710144927536,207,"GO:0016042","BP","lipid catabolic process","The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"darkred",50,50,11,2.10149733171033e-11,3.53934180606654e-07,20,0.4,0.0220507166482911,907,"GO:0006629","BP","lipid metabolic process","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"darkred",50,50,12,2.79444531614523e-11,4.70640480145179e-07,15,0.3,0.0344827586206897,435,"GO:0032787","BP","monocarboxylic acid metabolic process","The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."
"darkred",50,50,13,7.098153736567e-10,1.19547105231261e-05,17,0.34,0.0226666666666667,750,"GO:0006082","BP","organic acid metabolic process","The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."
"darkred",50,50,14,1.78984877291534e-09,3.01446330334401e-05,16,0.32,0.0232558139534884,688,"GO:0019752","BP","carboxylic acid metabolic process","The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
"darkred",50,50,15,3.65548098961962e-08,0.000615656108271737,21,0.42,0.0136629798308393,1537,"GO:0005739","CC","mitochondrion","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"darkred",50,50,16,4.51613188049987e-08,0.000760606931313789,15,0.3,0.0201342281879195,745,"GO:0055114","BP","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons."
"darkred",50,50,17,7.69353042373185e-08,0.00129574439396492,5,0.1,0.166666666666667,30,"GO:0000062","MF","fatty-acyl-CoA binding","Interacting selectively and non-covalently with acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with a fatty acyl group."
"darkred",50,50,18,3.19229763456443e-07,0.00537646767613341,12,0.24,0.0230326295585413,521,"GO:0005740","CC","mitochondrial envelope","The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."
"darkred",50,50,19,6.78102722580787e-07,0.0114206060537056,10,0.2,0.0277008310249307,361,"GO:0005743","CC","mitochondrial inner membrane","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
"darkred",50,50,20,1.279375043867e-06,0.021547234488808,11,0.22,0.0226337448559671,486,"GO:0031966","CC","mitochondrial membrane","Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."
"green",698,684,1,2.08100186903564e-25,3.50482334782982e-21,173,0.252923976608187,0.112556929082629,1537,"GO:0005739","CC","mitochondrion","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"green",698,684,2,7.43770159100976e-13,1.25265770195786e-08,81,0.118421052631579,0.117732558139535,688,"GO:0019752","BP","carboxylic acid metabolic process","The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
"green",698,684,3,9.34833864045397e-13,1.57444719382526e-08,47,0.0687134502923977,0.163194444444444,288,"GO:0051186","BP","cofactor metabolic process","The chemical reactions and pathways involving a cofactor, a substance that is required for the activity of an enzyme or other protein. Cofactors may be inorganic, such as the metal atoms zinc, iron, and copper in certain forms, or organic, in which case they are referred to as coenzymes. Cofactors may either be bound tightly to active sites or bind loosely with the substrate."
